"id","iso_code1","iso_code2","iso_code3","name","trans_from","trans_to"
"language_bel","bel","bel","be","Belarusian","Bjeloruskog","Bjeloruski"
"language_bos","bos","bos","bs","Bosnian","Bosanskog","Bosanski"
"language_bul","bul","bul","bg","Bulgarian","Bugarskog","Bugarski"
"language_cat","cat","cat","ca","Catalan","Catalanskog","Katalanski"
"language_ces","cze","ces","cs","Czech","Češkog","Češki"
"language_cym","wel","cym","cy","Welsh","Velškog","Velški"
"language_dan","dan","dan","da","Danish","Danskog","Danski"
"language_deu","ger","deu","de","German","Njemačkog","Njemački"
"language_ell","gre","ell","el","Modern Greek (1453-)","Grčkog","Grčki"
"language_eng","eng","eng","en","English","Engleskog","Engleski"
"language_est","est","est","et","Estonian","Estonskog","Estonski"
"language_fin","fin","fin","fi","Finnish","Finskog","Finski"
"language_fra","fre","fra","fr","French","Francuskog","Francuski"
"language_gle","gle","gle","ga","Irish","Irskog","Irski"
"language_gsw","gsw","gsw",,"Swiss German",,
"language_hrv","hrv","hrv","hr","Croatian","Hrvatskog","Hrvatski"
"language_hun","hun","hun","hu","Hungarian","Mađarskog","Mađarski"
"language_hye","arm","hye","hy","Armenian","Armenskog","Armenski"
"language_ita","ita","ita","it","Italian","Talijanskog","Talijanski"
"language_mkd","mac","mkd","mk","Macedonian","Makedonskog","Makedonski"
"language_nld","dut","nld","nl","Dutch","Nizozemskog","Nizozemski"
"language_nor","nor","nor","no","Norwegian","Norveškog","Norveški"
"language_pol","pol","pol","pl","Polish","Poljskog","Poljski"
"language_por","por","por","pt","Portuguese","Portugalskog","Portugalski"
"language_ron","rum","ron","ro","Romanian","Rumunjskog","Rumunjski"
"language_rus","rus","rus","ru","Russian","Ruskog","Ruski"
"language_slk","slo","slk","sk","Slovak","Slovačkog","Slovački"
"language_slv","slv","slv","sl","Slovenian","Slovenskog","Slovenski"
"language_spa","spa","spa","es","Spanish","Španjolskog","Španjolski"
"language_sqi","alb","sqi","sq","Albanian","Albanskog","Albanski"
"language_srp","srp","srp","sr","Serbian","Srpskog","Srpski"
"language_swe","swe","swe","sv","Swedish","Švedskog","Švedski"
"language_tlh","tlh","tlh",,"Klingon","Klingonskog","Klingonski"
"language_tur","tur","tur","tr","Turkish","Turskog","Turski"
"language_ukr","ukr","ukr","uk","Ukrainian","Ukrainskog","Ukrainski"
