"id","iso_code1","iso_code2","iso_code3","name","trans_from","trans_to"
"hr_languages.hr_language_eng","eng","eng","en","Engleski","engleskog","engleski"
"hr_languages.hr_language_fra","fre","fra","fr","Francuski","francuskog","francuski"
"hr_languages.hr_language_ger","ger","deu","de","Njemački","njemačkog","njemački"
"hr_languages.hr_language_hrv","hrv","hrv","hr","Hrvatski","hrvatskog","hrvatski"
"hr_languages.hr_language_ita","ita","ita","it","Talijanski","talijanskog","talijanski"
"lingua.language_bel","bel","bel","be","Bjeloruski","bjeloruskog","bjeloruski"
"lingua.language_ara","ara","ara","ar","Arapski","arapskog","arapski"
"lingua.language_bos","bos","bos","bs","Bosanski","bosanskog","bosanski"
"lingua.language_bul","bul","bul","bg","Bugarski","bugarskog","bugarski"
"lingua.language_cat","cat","cat","ca","Katalanski","catalanskog","katalanski"
"lingua.language_ces","cze","ces","cs","Češki","češkog","češki"
"lingua.language_cym","wel","cym","cy","Welški","velškog","velški"
"lingua.language_dan","dan","dan","da","Danski","danskog","danski"
"lingua.language_ell","gre","ell","el","Grčki","grčkog","grčki"
"lingua.language_est","est","est","et","Estonski","estonskog","estonski"
"lingua.language_fin","fin","fin","fi","Finski","finskog","finski"
"lingua.language_gle","gle","gle","ga","Irski","irskog","irski"
"lingua.language_heb","heb","heb","he","Hebrejski","hebrejskog","hebrejski"
"lingua.language_hun","hun","hun","hu","Mađarski","mađarskog","mađarski"
"lingua.language_hye","arm","hye","hy","Armenski","armenskog","armenski"
"lingua.language_lat","lat","lat","la","Latinski","latinskog","latinski"
"lingua.language_lit","lit","lit","lt","Litavski","litavskog","litavski"
"lingua.language_mkd","mac","mkd","mk","Makedonski","makedonskog","makedonski"
"lingua.language_nld","dut","nld","nl","Nizozemski","nizozemskog","nizozemski"
"lingua.language_nor","nor","nor","no","Norveški","norveškog","norveški"
"lingua.language_per","per","per","pe","Perzijski","perzijskog","perzijski"
"lingua.language_pol","pol","pol","pl","Poljski","poljskog","poljski"
"lingua.language_por","por","por","pt","Portugalski","portugalskog","portugalski"
"lingua.language_ron","rum","ron","ro","Rumunjski","rumunjskog","rumunjski"
"lingua.language_rus","rus","rus","ru","Ruski","ruskog","ruski"
"lingua.language_slk","slo","slk","sk","Slovački","slovačkog","slovački"
"lingua.language_slv","slv","slv","sl","Slovenski","slovenskog","slovenski"
"lingua.language_spa","spa","spa","es","Španjolski","španjolskog","španjolski"
"lingua.language_sqi","alb","sqi","sq","Albanski","albanskog","albanski"
"lingua.language_srp","srp","srp","sr","Srpski","srpskog","srpski"
"lingua.language_swe","swe","swe","sv","Švedski","švedskog","švedski"
"lingua.language_tlh","tlh","tlh",,"Klingon","klingonskog","klingonski"
"lingua.language_tur","tur","tur","tr","Turski","turskog","turski"
"lingua.language_ukr","ukr","ukr","uk","Ukrajinski","ukrajinskog","ukrajinski"
